rank, player_id, score, time, spm
1,Kurbelfreund,389040910,5987:28:20,1082.93
2,FIameEmperor,372920445,6032:03:20,1030.39
3,hirosiBMX,364163395,8105:55:00,748.76
4,ReM-3413-,343066865,5323:18:20,1074.55
5,jonasport27,321074469,9235:13:20,579.44
6,Ansuzu1jp,313812555,4464:00:00,1171.64
7,X33N33,308664040,4769:28:20,1078.61
8,HEX-_-00R,308362807,7195:58:20,714.2
9,L880K,306489452,8144:55:00,627.16
10,ashtonj85,306310650,6517:13:20,783.34
11,nixnax__96,299478114,3228:05:00,1546.21
12,HAWKbest,294822127,4639:23:20,1059.13
13,a223622362236,294583347,4586:20:00,1070.51
14,Rachel_1123,293302295,7526:05:00,649.52
15,JkSPindependente,292632448,5758:11:40,847
16,ferrety23,292289394,7959:51:40,612.01
17,EL_CURANDERO__,274870498,6075:13:20,754.08
18,ayataso2525,274621035,7304:30:00,626.6
19,Bekem34,268805782,4782:25:00,936.79
20,Approaching-ECS,268405865,6022:16:40,742.81
21,GeordieGayl,266163858,6928:31:40,640.26
22,JustinMacGregor,264408413,9284:21:40,474.65
23,metzka91,263151769,6001:45:00,730.76
24,rn5408mx,261260818,3700:21:40,1176.74
25,OBAMA-DAITOORYOO,261118168,2789:13:20,1560.28
26,Sir-Payne-,260051660,5851:50:00,740.66
27,KILLINOIS420_,253594611,4412:35:00,957.85
28,EtceteIa,252142792,4386:16:40,958.07
29,samysas20,250504502,7325:36:40,569.93
30,xX-FaRoWeLL7-Xx,246873353,6443:53:20,638.52
31,Frankyjohnny,242650294,6003:03:20,673.69
32,DSQD-SEVEN-,241720399,6255:05:00,644.06
33,the-wolf707,239097247,5754:15:00,692.52
34,UnknownADAGIO,237726872,5313:06:40,745.72
35,InSaNiTy__V1ruZ,237139254,5900:33:20,669.82
36,lllPorterllI,235279796,3915:23:20,1001.52
37,tomio_chan,233437186,4927:21:40,789.6
38,tonyjo-25,233335392,4558:56:40,853.03
39,Ninton-1,232023912,5135:06:40,753.06
40,WANDER-_-NINJA,231576284,6228:10:00,619.7
41,cmy611214,229831112,4099:33:20,934.37
42,taka-boc716,228966334,2869:20:00,1329.96
43,ninnikugorira,228679051,5994:51:40,635.76
44,Archonie,228215134,3366:50:00,1129.72
45,CHEETSBABY,227844346,4519:30:00,840.23
46,kittychama,226905994,4124:48:20,916.84
47,SandroTeofilo22,226634522,7876:25:00,479.56
48,lake45,225739325,5708:50:00,659.04
49,Ocyrama,224786991,3790:33:20,988.36
50,fer_haggis,224743624,5089:20:00,736
51,AKAIKOHAKU,223582083,3065:51:40,1215.44
52,Paulino-_-ninja_,222700783,4413:46:40,840.93
53,Deirdre_Barlow_-,222133782,5682:53:20,651.47
54,IMEFDIV,222029155,9179:46:40,403.11
55,scv-2796,221783986,3643:15:00,1014.59
56,FighterFPS,221438948,1966:12:20,1877.04
57,bobogoal23,220509996,3842:20:00,956.49
58,DoGz_PhoeniX,220133641,4971:03:20,738.05
59,DEATHSTROKE_1907,219592142,5866:31:40,623.86
60,NaBiL_Bom_Ba_Ye,217073142,3953:05:00,915.21
61,Mangogeschmack,216890851,4049:26:40,892.68
62,wildflower8299,215779839,5942:18:20,605.21
63,Kikkomies,215722980,6092:10:00,590.16
64,nOObo_Ita,215507447,2821:31:40,1273
65,zrombczlowieku,214817440,4311:23:20,830.43
66,FroZenIEpicWnk,214784079,5358:00:00,668.11
67,Mr__Charger,214522079,2964:16:40,1206.15
68,goiiabaa,213606707,3739:46:40,951.96
69,KCmk2,213417207,3899:45:00,912.1
70,AJax_0U812,213255628,3812:20:00,932.31
71,shr1973,213208265,5586:51:40,636.04
72,criemir7,213054669,4028:11:40,881.51
73,yuosefantabli77,212934552,7476:01:40,474.71
74,RedRum7436,212601862,4182:51:40,847.11
75,xF1GHTINGFALC0N,212586992,3453:53:20,1025.83
76,xXDarkfalkor24Xx,211395122,8868:21:40,397.28
77,Vida_yaya,211321839,3194:51:40,1102.4
78,Mr_light83,210331027,3968:23:20,883.36
79,daddybx1,209886080,6858:30:00,510.04
80,K_BEATBOX,209398071,3609:50:00,966.79
81,as_shuzetto,208452365,3389:35:00,1024.97
82,yasukoro33,208441183,5325:45:00,652.31
83,TOMOTIN1015,207226391,8658:43:20,398.88
84,EnixRage,205789425,3476:53:20,986.46
85,miz1127,205214940,4675:55:00,731.46
86,ADRIANO-JRGAMES,204916354,9046:35:00,377.52
87,JHONY-MARRECO-SP,204304833,5243:26:40,649.4
88,azo101oz695,203422730,4239:35:00,799.7
89,ekolimits,202814867,3018:46:40,1119.74
90,maly-65PL,201681558,7304:16:40,460.19
91,MP7-NAG,200612368,3652:36:40,915.38
92,TTUJones,199438754,4457:06:40,745.77
93,CrAzYHoNk,199176321,6615:23:20,501.8
94,o2bhi2,198866007,8288:28:20,399.88
95,xxBISMARCKxx,198764568,5677:18:20,583.51
96,InFamouS___V1p3r,198530473,7970:31:40,415.13
97,Xx_Saiya_JiN_xX,198359811,7658:56:40,431.65
98,TAI-PON_,197931915,6488:53:20,508.39
99,Dudetor,197837007,2052:52:10,1606.18
100,Pu__yButcher,196509574,3444:26:40,950.85
101,B_BADHRIS,196282638,6402:41:40,510.94
102,ALE__FROM__ITALY,195731887,5214:15:00,625.63
103,Geh_im_Popo,195309326,4234:13:20,768.77
104,garyjames12,191395124,9020:46:40,353.62
105,Rriifa,191090738,3576:21:40,890.53
106,MAXIMUS_1989,189977954,8036:10:00,394.01
107,Kondor55,189955790,5530:20:00,572.47
108,Mary_Mona_Lisa,189924959,2221:56:30,1424.62
109,B-Y412,189857329,3882:13:20,815.07
